,precision,recall,f1,accuracy,specificity,sensitivity,avg_detection_time,true_negatives,false_positives,false_negatives,true_positives
ZKP Framework,0.9411764705882353,0.48484848484848486,0.64,0.625,0.9333333333333333,0.48484848484848486,7.012983163197835e-05,14.0,1.0,17.0,16.0
Regex Baseline,0.9375,0.45454545454545453,0.6122448979591837,0.6041666666666666,0.9333333333333333,0.45454545454545453,4.200637340545654e-05,14.0,1.0,18.0,15.0
LLM Simulator,0.8888888888888888,0.48484848484848486,0.6274509803921569,0.6041666666666666,0.8666666666666667,0.48484848484848486,0.11052062114079793,13.0,2.0,17.0,16.0
Ensemble,0.95,0.5757575757575758,0.7169811320754716,0.6875,0.9333333333333333,0.5757575757575758,0.1012435257434845,14.0,1.0,14.0,19.0
