,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9604671712320872,1.0,1.0
recall,0.94276,1.0,0.647,0.94336
f1,0.9705367621322243,0.9798349957867095,0.7856709168184578,0.9708546023382183
accuracy,0.97138,0.97942,0.8235,0.97168
specificity,1.0,0.95884,1.0,1.0
sensitivity,0.94276,1.0,0.647,0.94336
avg_detection_time,2.8515615463256837e-05,6.640199661254882e-05,6.80312728881836e-05,0.00017241634368896484
true_negatives,25000.0,23971.0,25000.0,25000.0
false_positives,0.0,1029.0,0.0,0.0
false_negatives,1431.0,0.0,8825.0,1416.0
true_positives,23569.0,25000.0,16175.0,23584.0
