Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8138968798406727,0.9377074574020801
precision,0.9242685025817556,0.9237623762376238,1.0,0.9283720930232559
recall,0.8850953614315987,0.8787379326583471,0.6039557334589122,0.9399576171415116
f1,0.904257878277604,0.9006878243031254,0.7530827950675278,0.934128934128934
sensitivity,0.8850953614315987,0.8787379326583471,0.6039557334589122,0.9399576171415116
specificity,0.9357127948236277,0.9357127948236277,1.0,0.9357127948236277
latency_ms,0.09110243506704872,0.05939956997632717,0.06873382353946207,0.2321959016702428
tamper_resistance,0.8725,0.8705,0.5985,0.929
detection_rate,0.8850953614315987,0.8787379326583471,0.6039557334589122,0.9399576171415116
throughput_sps,10976.655006685927,16835.13871225895,14548.877808694451,4306.708227004661
true_positives,3759,3732,2565,3992
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1682,255
