metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8720416666666667,0.8698666666666667,0.82515,0.89515
avg_detection_time,9.919254183769226e-05,6.47602637608846e-05,6.593854626019796e-05,0.0002285084048906962
f1,0.8759362350222595,0.873560798665652,0.7880991334908803,0.9005689900426742
false_negatives,5794,6055,20982,3021
false_positives,9561,9561,0,9561
precision,0.8500635124751047,0.8494472963184581,1.0,0.856311992786294
recall,0.9034333333333333,0.8990833333333333,0.6503,0.94965
sensitivity,0.9034333333333333,0.8990833333333333,0.6503,0.94965
specificity,0.84065,0.84065,1.0,0.84065
true_negatives,50439,50439,60000,50439
true_positives,54206,53945,39018,56979
