Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9170844581565754,0.9171483622350675,1.0,0.9215041986126323
recall,0.8840148698884759,0.8847583643122676,0.608550185873606,0.9382899628252788
f1,0.9002460723074011,0.9006622516556292,0.7566443263230876,0.9298213298950083
accuracy,0.9073813708260106,0.9077328646748682,0.8149384885764499,0.9330404217926186
specificity,0.9283333333333333,0.9283333333333333,1.0,0.9283333333333333
sensitivity,0.8840148698884759,0.8847583643122676,0.608550185873606,0.9382899628252788
avg_detection_time,9.399864082805721e-05,6.45192101047831e-05,6.162215201004108e-05,0.00022062467565016922

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,2378,2785,215,312
Regex Baseline,2380,2785,215,310
LLM Simulator,1637,3000,0,1053
Ensemble,2524,2785,215,166
