Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9056750166260252,0.9043449346043005,0.8152294391487475,0.9333850587452893
precision,0.9179818268770923,0.9177458033573141,1.0,0.9226083032490975
recall,0.8831377961812744,0.8803772716816195,0.6165171382562686,0.9406487232574189
f1,0.9002227693750733,0.8986732417517905,0.762772164508325,0.9315411778106846
sensitivity,0.8831377961812744,0.8803772716816195,0.6165171382562686,0.9406487232574189
specificity,0.9266310160427808,0.9266310160427808,1.0,0.9266310160427808
latency_ms,0.08994825820229424,0.06141440087743145,0.06685320909788063,0.23001901486632936
tamper_resistance,0.867,0.8605,0.5945,0.918
detection_rate,0.8831377961812744,0.8803772716816195,0.6165171382562686,0.9406487232574189
throughput_sps,11117.502661930299,16282.825944940218,14958.145068786262,4347.466667401948
true_positives,3839,3827,2680,4089
true_negatives,4332,4332,4675,4332
false_positives,343,343,0,343
false_negatives,508,520,1667,258
