Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.911925601750547,0.911925601750547,0.8205689277899344,0.9327133479212254
precision,0.9065868263473054,0.9065868263473054,1.0,0.9106529209621993
recall,0.9011904761904762,0.9011904761904762,0.6095238095238096,0.9464285714285714
f1,0.9038805970149253,0.9038805970149253,0.7573964497041421,0.9281961471103326
latency_ms,0.09008061703237454,0.06091112120146303,0.0689504443947022,0.2334021374224573
tamper_resistance,0.8785714285714286,0.8821428571428571,0.5952380952380952,0.9285714285714286
detection_rate,0.9011904761904762,0.9011904761904762,0.6095238095238096,0.9464285714285714
true_positives,757,757,512,795
true_negatives,910,910,988,910
false_positives,78,78,0,78
false_negatives,83,83,328,45
