Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9170844581565754,0.0,1.0,0.9170844581565754
recall,0.8840148698884759,0.0,0.6,0.8840148698884759
f1,0.9002460723074011,0.0,0.7499999999999999,0.9002460723074011
accuracy,0.9073813708260106,0.5272407732864675,0.810896309314587,0.9073813708260106
specificity,0.9283333333333333,1.0,1.0,0.9283333333333333
sensitivity,0.8840148698884759,0.0,0.6,0.8840148698884759
avg_detection_time,9.414692964201861e-05,6.461185394984347e-08,7.256531338281078e-05,0.00018215891766003439

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,2378,2785,215,312
Regex Baseline,0,3000,0,2690
LLM Simulator,1614,3000,0,1076
Ensemble,2378,2785,215,312
