Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8168842664306263,0.9373755255587519
precision,0.9242685025817556,0.9237623762376238,1.0,0.928322085175704
recall,0.8850953614315987,0.8787379326583471,0.6103131622321639,0.9392512361667059
f1,0.904257878277604,0.9006878243031254,0.7580055563678901,0.9337546816479402
sensitivity,0.8850953614315987,0.8787379326583471,0.6103131622321639,0.9392512361667059
specificity,0.9357127948236277,0.9357127948236277,1.0,0.9357127948236277
latency_ms,0.088826748459021,0.05999933594384798,0.06869712955367648,0.25979410523095736
tamper_resistance,0.8705,0.86,0.598,0.928
detection_rate,0.8850953614315987,0.8787379326583471,0.6103131622321639,0.9392512361667059
throughput_sps,11257.870150018338,16666.851128750448,14556.648967678488,3849.202040635212
true_positives,3759,3732,2592,3989
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1655,258
