Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9170844581565754,0.9171483622350675,0.0,0.9215041986126323
recall,0.8840148698884759,0.8847583643122676,0.0,0.9382899628252788
f1,0.9002460723074011,0.9006622516556292,0.0,0.9298213298950083
accuracy,0.9073813708260106,0.9077328646748682,0.5272407732864675,0.9330404217926186
specificity,0.9283333333333333,0.9283333333333333,1.0,0.9283333333333333
sensitivity,0.8840148698884759,0.8847583643122676,0.0,0.9382899628252788
avg_detection_time,9.297205819396437e-05,6.944672294576473e-05,6.234918202163884e-08,0.00017509225801759528

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,2378,2785,215,312
Regex Baseline,2380,2785,215,310
LLM Simulator,0,3000,0,2690
Ensemble,2524,2785,215,166
