,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995998399359743,0.9995840266222962,0.9979591836734694,0.9995998399359743
recall,0.7688519544475223,0.739612188365651,0.1505078485687904,0.7688519544475223
f1,0.8691718858733473,0.850168052361578,0.2615672639743247,0.8691718858733473
accuracy,0.8842720837180671,0.8696522006771314,0.5751000307787011,0.8842720837180671
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9996922129886119
sensitivity,0.7688519544475223,0.739612188365651,0.1505078485687904,0.7688519544475223
avg_detection_time,0.00014829521877797209,0.00011195557489509618,0.00011652346646539906,0.00038412072982154066
true_negatives,3248.0,3248.0,3248.0,3248.0
false_positives,1.0,1.0,1.0,1.0
false_negatives,751.0,846.0,2760.0,751.0
true_positives,2498.0,2403.0,489.0,2498.0
