,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9220580743759552,0.9221374045801527,0.9995002498750625,0.9285051067780873
recall,0.905,0.906,1.0,1.0
f1,0.9134494070148877,0.9139974779319041,0.9997500624843789,0.9629272989889264
accuracy,0.91425,0.91475,0.99975,0.9615
specificity,0.9235,0.9235,0.9995,0.923
sensitivity,0.905,0.906,1.0,1.0
avg_detection_time,9.808015823364257e-05,6.461626291275024e-05,0.0002517972588539124,0.00048318713903427123
true_negatives,1847.0,1847.0,1999.0,1846.0
false_positives,153.0,153.0,1.0,154.0
false_negatives,190.0,188.0,0.0,0.0
true_positives,1810.0,1812.0,2000.0,2000.0
