metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.5620381773399015,0.6074507389162561,0.9237992610837439,0.5506465517241379
avg_detection_time,0.00013877124768759818,9.905469828638537e-05,0.0001001257100716013,0.00033759597340240853
f1,0.0,0.0,0.0,0.0
false_negatives,0,0,0,0
false_positives,2845,2550,495,2919
precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
sensitivity,0,0,0,0
specificity,0.5620381773399015,0.6074507389162561,0.9237992610837439,0.5506465517241379
true_negatives,3651,3946,6001,3577
true_positives,0,0,0,0
