metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.5620381773399015,0.6074507389162561,0.9248768472906403,0.5506465517241379
avg_detection_time,0.0001345731574913551,9.746240277595707e-05,9.945765357886629e-05,0.00034405786562435734
f1,0.0,0.0,0.0,0.0
false_negatives,0,0,0,0
false_positives,2845,2550,488,2919
precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
sensitivity,0,0,0,0
specificity,0.5620381773399015,0.6074507389162561,0.9248768472906403,0.5506465517241379
true_negatives,3651,3946,6008,3577
true_positives,0,0,0,0
