metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.562,0.6098333333333333,0.9271666666666667,0.5498333333333333
avg_detection_time,0.0001458891232808431,0.00010566147168477376,0.00010853803157806396,0.00035323413213094075
f1,0.0,0.0,0.0,0.0
false_negatives,0,0,0,0
false_positives,2628,2341,437,2701
precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
sensitivity,0,0,0,0
specificity,0.562,0.6098333333333333,0.9271666666666667,0.5498333333333333
true_negatives,3372,3659,5563,3299
true_positives,0,0,0,0
