,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9604671712320872,0.9604671712320872,1.0,0.9604671712320872
recall,1.0,1.0,0.64756,1.0
f1,0.9798349957867095,0.9798349957867095,0.7860836631139383,0.9798349957867095
accuracy,0.97942,0.97942,0.82378,0.97942
specificity,0.95884,0.95884,1.0,0.95884
sensitivity,1.0,1.0,0.64756,1.0
avg_detection_time,0.00012977861404418945,9.595475673675537e-05,0.00010123685836791992,0.0003292466735839844
true_negatives,23971.0,23971.0,25000.0,23971.0
false_positives,1029.0,1029.0,0.0,1029.0
false_negatives,0.0,0.0,8811.0,0.0
true_positives,25000.0,25000.0,16189.0,25000.0
