Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9189753504108265,1.0,0.9236069338874611
recall,0.7128088052415688,0.8822688716892181,0.6107801102511276,0.9404755275906231
f1,0.8323273479914608,0.9002481013617166,0.7583655973451328,0.9319649064724383
accuracy,0.8641253282049931,0.9074966850198021,0.815853947680392,0.9350351695250139
specificity,1.0,0.93015,1.0,0.93015
sensitivity,0.7128088052415688,0.8822688716892181,0.6107801102511276,0.9404755275906231
avg_detection_time,2.9289543540235915e-05,6.068792021303773e-05,6.676865022654395e-05,0.00018627972267315891

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,38404,60000,0,15473
Regex Baseline,47534,55809,4191,6343
LLM Simulator,32907,60000,0,20970
Ensemble,50670,55809,4191,3207
