Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8143394556317769,0.9373755255587519
precision,0.9242685025817556,0.9237623762376238,1.0,0.928322085175704
recall,0.8850953614315987,0.8787379326583471,0.6048975747586531,0.9392512361667059
f1,0.904257878277604,0.9006878243031254,0.7538145539906103,0.9337546816479402
latency_ms,0.10213838211333073,0.05882143525851461,0.06585554834962234,0.22987734825639075
tamper_resistance,0.873,0.8625,0.5995,0.916
detection_rate,0.8850953614315987,0.8787379326583471,0.6048975747586531,0.9392512361667059
true_positives,3759,3732,2569,3989
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1678,258
