Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9096204998551526,0.907397750915172,0.814121303099734,0.9349240209633668
precision,0.9196744024939384,0.9192811064185269,1.0,0.9238956833745379
recall,0.8864615213399366,0.8817650659395693,0.6072561348839798,0.9399254354237383
f1,0.902762587481937,0.9001323540271411,0.7556432627059965,0.9318416276362754
sensitivity,0.8864615213399366,0.8817650659395693,0.6072561348839798,0.9399254354237383
specificity,0.93043,0.93043,1.0,0.93043
latency_ms,0.09129476184317034,0.06752323838708862,0.06722698175000766,0.235822426755096
tamper_resistance,0.869,0.8705,0.5825,0.926
detection_rate,0.8864615213399366,0.8817650659395693,0.6072561348839798,0.9399254354237383
throughput_sps,10953.530956330644,14809.71623824271,14874.979866248214,4240.478794828578
true_positives,79653,79231,54565,84457
true_negatives,93043,93043,100000,93043
false_positives,6957,6957,0,6957
false_negatives,10202,10624,35290,5398
