Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9091869060190074,0.91129883843717,0.8123020063357973,0.9350580781414994
precision,0.9187935034802784,0.9191685912240185,1.0,0.9231613611416026
recall,0.8859060402684564,0.8903803131991052,0.6023489932885906,0.9407158836689038
f1,0.9020501138952164,0.9045454545454547,0.7518324607329843,0.9318559556786703
sensitivity,0.8859060402684564,0.8903803131991052,0.6023489932885906,0.9407158836689038
specificity,0.93,0.93,1.0,0.93
latency_ms,0.08817434059151122,0.0593919059165302,0.0668421718110001,0.2315292388609873
tamper_resistance,0.8691275167785235,0.8713646532438478,0.5782997762863534,0.9217002237136466
detection_rate,0.8859060402684564,0.8903803131991052,0.6023489932885906,0.9407158836689038
true_positives,1584,1592,1077,1682
true_negatives,1860,1860,2000,1860
false_positives,140,140,0,140
false_negatives,204,196,711,106
