Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.911925601750547,0.911925601750547,0.8233041575492341,0.9327133479212254
precision,0.9065868263473054,0.9065868263473054,1.0,0.9106529209621993
recall,0.9011904761904762,0.9011904761904762,0.6154761904761905,0.9464285714285714
f1,0.9038805970149253,0.9038805970149253,0.7619749447310243,0.9281961471103326
sensitivity,0.9011904761904762,0.9011904761904762,0.6154761904761905,0.9464285714285714
specificity,0.9210526315789473,0.9210526315789473,1.0,0.9210526315789473
latency_ms,0.08864241042857096,0.060718742971608106,0.06825801319314301,0.23181107164211817
tamper_resistance,0.8833333333333333,0.888095238095238,0.6011904761904762,0.930952380952381
detection_rate,0.9011904761904762,0.9011904761904762,0.6154761904761905,0.9464285714285714
throughput_sps,11281.281670536375,16469.379158056632,14650.294569377487,4313.857802028763
true_positives,757,757,517,795
true_negatives,910,910,988,910
false_positives,78,78,0,78
false_negatives,83,83,323,45
