Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8162583518930958,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6090047393364929,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7569955817378498,0.936545240893067
sensitivity,0.8957345971563981,0.8969194312796208,0.6090047393364929,0.9443127962085308
specificity,0.9359243697478992,0.9359243697478992,1.0,0.9359243697478992
latency_ms,0.08978517124541353,0.060391983635441494,0.06887456091050316,0.24102578449886466
tamper_resistance,0.8744075829383886,0.8779620853080569,0.5995260663507109,0.9253554502369669
detection_rate,0.8957345971563981,0.8969194312796208,0.6090047393364929,0.9443127962085308
throughput_sps,11137.696638865438,16558.489054384074,14519.148823313993,4148.9337005133175
true_positives,756,757,514,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,330,47
