,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
f1,0.0,0.0,0.0,0.0
accuracy,0.89,0.856,0.89,0.886
specificity,0.89,0.856,0.89,0.886
sensitivity,0.0,0.0,0.0,0.0
avg_detection_time,2.6239871978759767e-05,6.961584091186524e-05,0.1002255597114563,0.10037482023239136
true_negatives,445.0,428.0,445.0,443.0
false_positives,55.0,72.0,55.0,57.0
false_negatives,0.0,0.0,0.0,0.0
true_positives,0.0,0.0,0.0,0.0
