Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8195991091314031,0.9404231625835189
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289871944121071
recall,0.8957345971563981,0.8969194312796208,0.6161137440758294,0.9454976303317536
f1,0.9102950030102348,0.9109506618531888,0.7624633431085045,0.9371697005284793
sensitivity,0.8957345971563981,0.8969194312796208,0.6161137440758294,0.9454976303317536
specificity,0.9359243697478992,0.9359243697478992,1.0,0.9359243697478992
latency_ms,0.1022908629181656,0.06264049916596615,0.07062168057618004,0.23509333022187706
tamper_resistance,0.8803317535545023,0.8803317535545023,0.6030805687203792,0.9324644549763034
detection_rate,0.8957345971563981,0.8969194312796208,0.6161137440758294,0.9454976303317536
throughput_sps,9776.044227919132,15964.112887263203,14159.957563191858,4253.629820362054
true_positives,756,757,520,798
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,324,46
