,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0
f1,0.0,0.0,0.0,0.0
accuracy,0.89,0.856,0.89,0.886
specificity,0.89,0.856,0.89,0.886
sensitivity,0.0,0.0,0.0,0.0
avg_detection_time,2.704954147338867e-05,7.030916213989258e-05,0.1002383098602295,0.10038313198089599
true_negatives,445.0,428.0,445.0,443.0
false_positives,55.0,72.0,55.0,57.0
false_negatives,0.0,0.0,0.0,0.0
true_positives,0.0,0.0,0.0,0.0
