Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.911925601750547,0.911925601750547,0.8227571115973742,0.9327133479212254
precision,0.9065868263473054,0.9065868263473054,1.0,0.9106529209621993
recall,0.9011904761904762,0.9011904761904762,0.6142857142857143,0.9464285714285714
f1,0.9038805970149253,0.9038805970149253,0.7610619469026549,0.9281961471103326
sensitivity,0.9011904761904762,0.9011904761904762,0.6142857142857143,0.9464285714285714
specificity,0.9210526315789473,0.9210526315789473,1.0,0.9210526315789473
latency_ms,0.09119588906185894,0.06204778308158891,0.06965957011383524,0.23252893589779375
tamper_resistance,0.888095238095238,0.8916666666666667,0.5976190476190476,0.9285714285714286
detection_rate,0.9011904761904762,0.9011904761904762,0.6142857142857143,0.9464285714285714
true_positives,757,757,516,795
true_negatives,910,910,988,910
false_positives,78,78,0,78
false_negatives,83,83,324,45
