Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9097775912715065,0.9171483622350675,1.0,0.9215041986126323
recall,0.8059479553903346,0.8847583643122676,0.6074349442379182,0.9382899628252788
f1,0.8547210723437807,0.9006622516556292,0.7557816836262721,0.9298213298950083
accuracy,0.8704745166959578,0.9077328646748682,0.8144112478031634,0.9330404217926186
specificity,0.9283333333333333,0.9283333333333333,1.0,0.9283333333333333
sensitivity,0.8059479553903346,0.8847583643122676,0.6074349442379182,0.9382899628252788
avg_detection_time,5.8548228392911086e-05,6.427840314975732e-05,7.211562828774611e-05,0.0002002286156786766

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,2168,2785,215,522
Regex Baseline,2380,2785,215,310
LLM Simulator,1634,3000,0,1056
Ensemble,2524,2785,215,166
