Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8152246072139854,0.9373755255587519
precision,0.9242685025817556,0.9237623762376238,1.0,0.928322085175704
recall,0.8850953614315987,0.8787379326583471,0.6067812573581352,0.9392512361667059
f1,0.904257878277604,0.9006878243031254,0.7552754982415006,0.9337546816479402
sensitivity,0.8850953614315987,0.8787379326583471,0.6067812573581352,0.9392512361667059
specificity,0.9357127948236277,0.9357127948236277,1.0,0.9357127948236277
latency_ms,0.0886404822953746,0.06007108838190466,0.06762443060472915,0.23135310069837778
tamper_resistance,0.861,0.8635,0.594,0.9205
detection_rate,0.8850953614315987,0.8787379326583471,0.6067812573581352,0.9392512361667059
throughput_sps,11281.527064211174,16646.94326233037,14787.555193552602,4322.397223038437
true_positives,3759,3732,2577,3989
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1670,258
