Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8828502923484626,0.8811046144786102,0.8147688554242207,0.9090775249232322
precision,0.8702346680624619,0.8697631659589371,1.0,0.876928804864932
recall,0.8849019781779474,0.881220615630267,0.6093763860551761,0.9402111239244212
f1,0.8775070372976778,0.875454405252374,0.7572826236736944,0.907468053682656
latency_ms,0.10163806692559954,0.07032151628000917,0.06868016587937228,0.3549726751612578
tamper_resistance,0.865,0.8675,0.5905,0.9235
detection_rate,0.8849019781779474,0.881220615630267,0.6093763860551761,0.9402111239244212
true_positives,19951,19868,13739,21198
true_negatives,22025,22025,25000,22025
false_positives,2975,2975,0,2975
false_negatives,2595,2678,8807,1348
