metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.872125,0.870145,0.824105,0.895405
avg_detection_time,0.00010165639638900757,6.56836712360382e-05,6.685564398765564e-05,0.00043589179635047915
f1,0.8759609088924994,0.8737979192279469,0.786562391928213,0.9007830545292425
false_negatives,9695,10091,35179,5039
false_positives,15880,15880,0,15880
precision,0.85044968686726,0.8498898751287941,1.0,0.8567317147986756
recall,0.90305,0.89909,0.64821,0.94961
sensitivity,0.90305,0.89909,0.64821,0.94961
specificity,0.8412,0.8412,1.0,0.8412
true_negatives,84120,84120,100000,84120
true_positives,90305,89909,64821,94961
