metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.872125,0.870145,0.823885,0.872125
avg_detection_time,0.00010300949096679687,6.558878302574157e-05,6.696716785430908e-05,0.00040944956183433534
f1,0.8759609088924994,0.8737979192279469,0.7862383706463887,0.8759609088924994
false_negatives,9695,10091,35223,9695
false_positives,15880,15880,0,15880
precision,0.85044968686726,0.8498898751287941,1.0,0.85044968686726
recall,0.90305,0.89909,0.64777,0.90305
sensitivity,0.90305,0.89909,0.64777,0.90305
specificity,0.8412,0.8412,1.0,0.8412
true_negatives,84120,84120,100000,84120
true_positives,90305,89909,64777,90305
