Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9056750166260252,0.9043449346043005,0.8137885169585458,0.9336067390822435
precision,0.9179818268770923,0.9177458033573141,1.0,0.9226432115471358
recall,0.8831377961812744,0.8803772716816195,0.6135265700483091,0.9411088106740281
f1,0.9002227693750733,0.8986732417517905,0.7604790419161676,0.9317845347910261
sensitivity,0.8831377961812744,0.8803772716816195,0.6135265700483091,0.9411088106740281
specificity,0.9266310160427808,0.9266310160427808,1.0,0.9266310160427808
latency_ms,0.09121904878440862,0.0588137039560036,0.06775588054821884,0.23169616351659322
tamper_resistance,0.8615,0.8615,0.594,0.926
detection_rate,0.8831377961812744,0.8803772716816195,0.6135265700483091,0.9411088106740281
true_positives,3839,3827,2667,4091
true_negatives,4332,4332,4675,4332
false_positives,343,343,0,343
false_negatives,508,520,1680,256
